name,price,category,product_url,image_url,attributes,tags,embedding_input
Beyaz Pantolon,1599.99,Pantolons,https://www.mavi.com/beyaz-pantolon/p/1010649-70057,/arranged_images/0001-1010649-70057.jpg,"{""product_type"": ""clothing"", ""item_subtype"": ""trousers"", ""gender"": ""women"", ""temp_range"": ""warm"", ""wind_resistance"": false, ""waterproof"": false, ""formality"": ""casual"", ""occasion"": [""everyday"", ""vacation""], ""activity"": [""walking"", ""beach"", ""casual""], ""style"": ""bohemian"", ""fit"": ""regular"", ""season"": [""spring"", ""summer""], ""material_feel"": ""lightweight"", ""layering"": ""base"", ""color_family"": ""dark"", ""pattern"": ""solid"", ""closure"": ""zip"", ""size_range"": ""xs_xl"", ""age_group"": ""adult"", ""breathability"": ""high""}","{adult,base,beach,bohemian,casual,clothing,dark,everyday,high,lightweight,regular,solid,spring,summer,trousers,vacation,walking,warm,women,xs_xl,zip}",Beyaz Pantolon Pantolons casual bohemian warm lightweight regular trousers everyday vacation walking beach casual spring summer
Siyah Keten Pantolon,2799.99,Pantolons,https://www.mavi.com/siyah-keten-pantolon/p/1011186-900,/arranged_images/0002-1011186-900.jpg,"{""product_type"": ""clothing"", ""item_subtype"": ""trousers"", ""gender"": ""women"", ""temp_range"": ""mild"", ""wind_resistance"": false, ""waterproof"": false, ""formality"": ""smart_casual"", ""occasion"": [""everyday"", ""work""], ""activity"": [""walking"", ""office"", ""casual""], ""style"": ""classic"", ""fit"": ""regular"", ""season"": [""spring"", ""autumn""], ""material_feel"": ""medium"", ""layering"": ""base"", ""color_family"": ""dark"", ""pattern"": ""solid"", ""closure"": ""zip"", ""size_range"": ""xs_xl"", ""age_group"": ""adult"", ""breathability"": ""medium""}","{adult,autumn,base,casual,classic,clothing,dark,everyday,medium,mild,office,regular,smart_casual,solid,spring,trousers,walking,women,work,xs_xl,zip}",Siyah Keten Pantolon Pantolons smart_casual classic mild medium regular trousers everyday work walking office casual spring autumn
Beyaz Keten Pantolon,2799.99,Pantolons,https://www.mavi.com/beyaz-keten-pantolon/p/1011186-70057,/arranged_images/0003-1011186-70057.jpg,"{""product_type"": ""clothing"", ""item_subtype"": ""trousers"", ""gender"": ""women"", ""temp_range"": ""mild"", ""wind_resistance"": false, ""waterproof"": false, ""formality"": ""smart_casual"", ""occasion"": [""everyday"", ""work""], ""activity"": [""walking"", ""office"", ""casual""], ""style"": ""classic"", ""fit"": ""relaxed"", ""season"": [""spring"", ""autumn""], ""material_feel"": ""medium"", ""layering"": ""base"", ""color_family"": ""dark"", ""pattern"": ""solid"", ""closure"": ""zip"", ""size_range"": ""xs_xl"", ""age_group"": ""adult"", ""breathability"": ""medium""}","{adult,autumn,base,casual,classic,clothing,dark,everyday,medium,mild,office,relaxed,smart_casual,solid,spring,trousers,walking,women,work,xs_xl,zip}",Beyaz Keten Pantolon Pantolons smart_casual classic mild medium relaxed trousers everyday work walking office casual spring autumn
Bağcık Detaylı Yeşil Pantolon,1599.99,Pantolons,https://www.mavi.com/bagcik-detayli-yesil-pantolon/p/1011203-70113,/arranged_images/0004-1011203-70113.jpg,"{""product_type"": ""clothing"", ""item_subtype"": ""trousers"", ""gender"": ""women"", ""temp_range"": ""warm"", ""wind_resistance"": false, ""waterproof"": false, ""formality"": ""casual"", ""occasion"": [""everyday""], ""activity"": [""walking"", ""casual""], ""style"": ""minimalist"", ""fit"": ""regular"", ""season"": [""spring"", ""summer""], ""material_feel"": ""lightweight"", ""layering"": ""base"", ""color_family"": ""earth"", ""pattern"": ""solid"", ""closure"": ""pull_on"", ""size_range"": ""xs_xl"", ""age_group"": ""adult"", ""breathability"": ""high""}","{adult,base,casual,clothing,earth,everyday,high,lightweight,minimalist,pull_on,regular,solid,spring,summer,trousers,walking,warm,women,xs_xl}",Bağcık Detaylı Yeşil Pantolon Pantolons casual minimalist warm lightweight regular trousers everyday walking casual spring summer
Etnik Baskılı Lacivert Pantolon,1799.99,Pantolons,https://www.mavi.com/etnik-baskili-lacivert-pantolon/p/1011189-91499,/arranged_images/0005-1011189-91499.jpg,"{""product_type"": ""clothing"", ""item_subtype"": ""trousers"", ""gender"": ""women"", ""temp_range"": ""warm"", ""wind_resistance"": false, ""waterproof"": false, ""formality"": ""casual"", ""occasion"": [""everyday"", ""outdoor""], ""activity"": [""walking"", ""casual""], ""style"": ""minimalist"", ""fit"": ""relaxed"", ""season"": [""spring"", ""summer""], ""material_feel"": ""lightweight"", ""layering"": ""base"", ""color_family"": ""neutral"", ""pattern"": ""solid"", ""closure"": ""pull_on"", ""size_range"": ""xs_xl"", ""age_group"": ""adult"", ""breathability"": ""high""}","{adult,base,casual,clothing,everyday,high,lightweight,minimalist,neutral,outdoor,pull_on,relaxed,solid,spring,summer,trousers,walking,warm,women,xs_xl}",Etnik Baskılı Lacivert Pantolon Pantolons casual minimalist warm lightweight relaxed trousers everyday outdoor walking casual spring summer
Siyah Liyosel Karışımlı Pantolon,2299.99,Pantolons,https://www.mavi.com/siyah-liyosel-karisimli-pantolon/p/1011217-900,/arranged_images/0006-1011217-900.jpg,"{""product_type"": ""clothing"", ""item_subtype"": ""trousers"", ""gender"": ""women"", ""temp_range"": ""warm"", ""wind_resistance"": false, ""waterproof"": false, ""formality"": ""casual"", ""occasion"": [""everyday"", ""outdoor""], ""activity"": [""walking"", ""casual""], ""style"": ""minimalist"", ""fit"": ""relaxed"", ""season"": [""spring"", ""summer""], ""material_feel"": ""lightweight"", ""layering"": ""base"", ""color_family"": ""earth"", ""pattern"": ""solid"", ""closure"": ""pull_on"", ""size_range"": ""xs_xl"", ""age_group"": ""adult"", ""breathability"": ""high""}","{adult,base,casual,clothing,earth,everyday,high,lightweight,minimalist,outdoor,pull_on,relaxed,solid,spring,summer,trousers,walking,warm,women,xs_xl}",Siyah Liyosel Karışımlı Pantolon Pantolons casual minimalist warm lightweight relaxed trousers everyday outdoor walking casual spring summer
Kahverengi Geniş Paça Pantolon,2299.99,Pantolons,https://www.mavi.com/kahverengi-genis-paca-pantolon/p/1011200-71603,/arranged_images/0007-1011200-71603.jpg,"{""product_type"": ""clothing"", ""item_subtype"": ""trousers"", ""gender"": ""women"", ""temp_range"": ""warm"", ""wind_resistance"": false, ""waterproof"": false, ""formality"": ""casual"", ""occasion"": [""everyday"", ""outdoor""], ""activity"": [""walking"", ""casual""], ""style"": ""minimalist"", ""fit"": ""relaxed"", ""season"": [""spring"", ""summer""], ""material_feel"": ""lightweight"", ""layering"": ""base"", ""color_family"": ""dark"", ""pattern"": ""solid"", ""closure"": ""pull_on"", ""size_range"": ""xs_xl"", ""age_group"": ""adult"", ""breathability"": ""high""}","{adult,base,casual,clothing,dark,everyday,high,lightweight,minimalist,outdoor,pull_on,relaxed,solid,spring,summer,trousers,walking,warm,women,xs_xl}",Kahverengi Geniş Paça Pantolon Pantolons casual minimalist warm lightweight relaxed trousers everyday outdoor walking casual spring summer
Sky Koyu Kahverengi Gabardin Pantolon,1799.99,Pantolons,https://www.mavi.com/sky-koyu-kahverengi-gabardin-pantolon/p/1010627-A3931,/arranged_images/0008-1010627-A3931.jpg,"{""product_type"": ""clothing"", ""item_subtype"": ""trousers"", ""gender"": ""women"", ""temp_range"": ""warm"", ""wind_resistance"": false, ""waterproof"": false, ""formality"": ""casual"", ""occasion"": [""everyday"", ""outdoor""], ""activity"": [""walking"", ""casual""], ""style"": ""minimalist"", ""fit"": ""relaxed"", ""season"": [""spring"", ""summer""], ""material_feel"": ""lightweight"", ""layering"": ""base"", ""color_family"": ""neutral"", ""pattern"": ""solid"", ""closure"": ""pull_on"", ""size_range"": ""xs_xl"", ""age_group"": ""adult"", ""breathability"": ""high""}","{adult,base,casual,clothing,everyday,high,lightweight,minimalist,neutral,outdoor,pull_on,relaxed,solid,spring,summer,trousers,walking,warm,women,xs_xl}",Sky Koyu Kahverengi Gabardin Pantolon Pantolons casual minimalist warm lightweight relaxed trousers everyday outdoor walking casual spring summer
Siyah Pantolon,2499.99,Pantolons,https://www.mavi.com/siyah-pantolon/p/1011191-900,/arranged_images/0009-1011191-900.jpg,"{""product_type"": ""clothing"", ""item_subtype"": ""trousers"", ""gender"": ""women"", ""temp_range"": ""warm"", ""wind_resistance"": false, ""waterproof"": false, ""formality"": ""casual"", ""occasion"": [""everyday"", ""outdoor""], ""activity"": [""walking"", ""casual""], ""style"": ""minimalist"", ""fit"": ""relaxed"", ""season"": [""spring"", ""summer""], ""material_feel"": ""lightweight"", ""layering"": ""base"", ""color_family"": ""earth"", ""pattern"": ""solid"", ""closure"": ""pull_on"", ""size_range"": ""xs_xl"", ""age_group"": ""adult"", ""breathability"": ""high""}","{adult,base,casual,clothing,earth,everyday,high,lightweight,minimalist,outdoor,pull_on,relaxed,solid,spring,summer,trousers,walking,warm,women,xs_xl}",Siyah Pantolon Pantolons casual minimalist warm lightweight relaxed trousers everyday outdoor walking casual spring summer
Dokulu Geniş Paça Mavi Pantolon,2299.99,Pantolons,https://www.mavi.com/dokulu-genis-paca-mavi-pantolon/p/1011214-80195,/arranged_images/0010-1011214-80195.jpg,"{""product_type"": ""clothing"", ""item_subtype"": ""trousers"", ""gender"": ""women"", ""temp_range"": ""warm"", ""wind_resistance"": false, ""waterproof"": false, ""formality"": ""casual"", ""occasion"": [""everyday"", ""outdoor""], ""activity"": [""walking"", ""casual""], ""style"": ""minimalist"", ""fit"": ""relaxed"", ""season"": [""spring"", ""summer""], ""material_feel"": ""lightweight"", ""layering"": ""base"", ""color_family"": ""earth"", ""pattern"": ""solid"", ""closure"": ""pull_on"", ""size_range"": ""xs_xl"", ""age_group"": ""adult"", ""breathability"": ""high""}","{adult,base,casual,clothing,earth,everyday,high,lightweight,minimalist,outdoor,pull_on,relaxed,solid,spring,summer,trousers,walking,warm,women,xs_xl}",Dokulu Geniş Paça Mavi Pantolon Pantolons casual minimalist warm lightweight relaxed trousers everyday outdoor walking casual spring summer
